Pitcher,PrevPitch,Strikes,Balls,Outs,Handedness,RunnerFirst,RunnerSecond,RunnerThird,PitchResult
rokisasaki,CU,1,3,1,R,False,False,False,FF
rokisasaki,FF,2,3,1,R,False,False,False,FF
rokisasaki,FF,0,0,2,L,False,False,False,FS
rokisasaki,FS,1,0,2,L,False,False,False,FF
rokisasaki,FF,2,0,2,L,False,False,False,CU
rokisasaki,,0,0,0,R,False,False,False,FF
rokisasaki,FF,0,0,0,R,False,False,False,CU
rokisasaki,CU,1,0,0,R,False,False,False,FF
rokisasaki,FF,2,0,0,R,False,False,False,FF
rokisasaki,FF,0,0,1,L,False,False,False,CU
rokisasaki,CU,1,0,1,L,False,False,False,FF
rokisasaki,FF,2,0,1,L,False,False,False,CU
rokisasaki,CU,0,0,2,L,False,False,False,FF
rokisasaki,FF,1,0,2,L,False,False,False,CU
rokisasaki,CU,2,0,2,L,False,False,False,FF
Yamamoto,FF,0,0,0,L,False,False,False,FF
Yamamoto,FF,0,0,0,L,False,False,False,FF
Yamamoto,FF,1,0,0,L,False,False,False,CB
Yamamoto,CB,2,0,0,L,False,False,False,CB
Yamamoto,CB,2,1,0,L,False,False,False,FF
Yamamoto,FF,0,0,1,L,False,False,False,FS
Yamamoto,FS,1,0,1,L,False,False,False,FF
Yamamoto,FF,2,0,1,L,False,False,False,FF
Yamamoto,FF,2,0,1,L,False,False,False,CB
Yamamoto,CB,0,0,2,R,False,False,False,FS
Yamamoto,FS,0,1,2,R,False,False,False,FS
Yamamoto,FS,1,1,2,R,False,False,False,CB
Yamamoto,CB,1,2,2,R,False,False,False,FS
Yamamoto,FS,1,3,2,R,False,False,False,FS
Yamamoto,FS,0,0,2,L,True,False,False,FS
Yamamoto,FS,1,0,2,L,True,False,False,CB
Yamamoto,CB,2,0,2,L,True,False,False,CB
chrissale,CB,0,0,0,L,False,False,False,SL
chrissale,SL,1,0,0,L,False,False,False,FF
chrissale,FF,2,0,0,L,False,False,False,SL
chrissale,SL,0,0,1,R,False,False,False,SI
chrissale,SI,1,0,1,R,False,False,False,FF
chrissale,FF,2,0,1,R,False,False,False,FF
chrissale,FF,0,0,2,R,False,False,False,CH
chrissale,CH,1,0,2,R,False,False,False,FF
chrissale,FF,2,0,2,R,False,False,False,SL
jacobdegrom,SL,0,0,0,R,False,False,False,FF
jacobdegrom,FF,0,1,0,R,False,False,False,CH
jacobdegrom,CH,0,2,0,R,False,False,False,FF
jacobdegrom,FF,1,2,0,R,False,False,False,FF
jacobdegrom,FF,2,2,0,R,False,False,False,CH
jacobdegrom,CH,2,3,0,R,False,False,False,CH
jacobdegrom,CH,0,0,0,R,True,False,False,SL
jacobdegrom,SL,0,1,0,R,True,False,False,CH
jacobdegrom,CH,0,2,0,R,True,False,False,CH
jacobdegrom,CH,0,3,0,R,True,False,False,SL
jacobdegrom,SL,1,3,0,R,True,False,False,FF
jacobdegrom,FF,0,0,0,L,True,True,False,FF
jacobdegrom,FF,0,1,0,L,True,True,False,FF
jacobdegrom,FF,1,1,0,L,True,True,False,FF
