Pitcher,PitchType,FirstX,FirstY,SecondX,SecondY,FinalX,FinalY,isHit,isStrike
Yamamoto,CB,588.0,423.0,651.7928716572457,524.2539065068908,672.0762727846775,601.2307126911587,false,False
Yamamoto,FS,588.0,423.0,574.5476943720977,526.6175411088202,564.37502249104,596.88214848242,false,False
Yamamoto,CB,588.0,423.0,657.1331614396431,462.5592465046921,679.1145460090978,519.9197930076483,false,True
Yamamoto,FS,588.0,423.0,591.5512131759862,530.3588263090841,585.9792000189926,601.8130021482141,false,False
Yamamoto,FS,588.0,423.0,585.6794158173044,503.288389696476,571.2565727970234,566.1353260393435,false,True
Yamamoto,CB,588.0,423.0,638.3903031214684,511.1910623044336,654.4122614468001,584.0144434752112,false,False
Yamamoto,FF,588.0,423.0,629.3890951342327,387.74485757714586,635.0853214280575,383.9989655465295,false,False
Yamamoto,FF,588.0,423.0,717.0201829648005,582.8660631391832,717.0201829648005,582.8660631391832,false,False
Yamamoto,FF,588.0,423.0,628.6427694411093,564.3466619437767,628.6427694411093,564.3466619437767,false,True
Yamamoto,FF,588.0,423.0,559.7637693005546,408.3507693394718,543.3221238255634,411.15667475916285,false,False
Yamamoto,FS,588.0,423.0,575.6311456865993,538.1613246605085,559.73850063456,612.0963608175185,false,False
Yamamoto,FF,588.0,423.0,576.7716066730128,476.6474723093257,576.7716066730128,476.6474723093257,false,True
Yamamoto,FF,588.0,423.0,554.6935994697573,389.4673135592885,536.6398571289154,386.2690887633103,false,False
Yamamoto,FF,588.0,423.0,616.4594463423613,427.6655659908709,618.0445980588975,436.612749550227,false,True
Yamamoto,FF,588.0,423.0,659.118411312953,469.613254989404,659.118411312953,469.613254989404,false,True
Yamamoto,FS,588.0,423.0,638.122575018259,525.1994248648231,651.74933458207,595.0131320065464,false,True
Yamamoto,FS,588.0,423.0,566.3527024769269,522.5944758265277,553.7567676301832,591.5799207363178,SINGLE,False
Yamamoto,FF,588.0,423.0,670.0449795423597,581.082266221705,670.0449795423597,581.082266221705,false,True
Yamamoto,FS,588.0,423.0,551.1546528064556,542.4715843163494,526.0709247625662,617.777098448274,false,True
Yamamoto,FS,588.0,423.0,641.8335704990279,539.2273956578424,658.0065671476663,613.5013967353442,false,False
Yamamoto,FF,588.0,423.0,659.0367665676339,478.89910221448025,659.0367665676339,478.89910221448025,false,True
Yamamoto,FS,588.0,423.0,626.4594606642049,524.6163788284261,627.4738733075234,594.2447023007085,false,True
Yamamoto,FF,588.0,423.0,559.137802228753,440.1161657982497,542.4971260332429,453.0221068740737,false,True
Yamamoto,FF,588.0,423.0,646.5046605201824,517.4180868391774,646.5046605201824,517.4180868391774,false,True
rokisasaki,FS,598.0,404.0,634.6773028569111,541.8961999596881,645.5468554706887,623.0599527945282,false,False
rokisasaki,FS,598.0,404.0,618.6863849776237,551.3076911668944,625.2897075753506,635.463895139359,false,False
rokisasaki,FS,598.0,404.0,545.5581666803043,484.4301935312739,522.107899843809,547.3222174205694,false,False
rokisasaki,FF,598.0,404.0,562.3984026956953,480.76167520140973,562.3984026956953,480.76167520140973,false,True
rokisasaki,FF,598.0,404.0,531.9655236607966,470.7858049477966,531.9655236607966,470.7858049477966,false,False
rokisasaki,FS,598.0,404.0,595.158485948788,481.1046612897357,592.9448336768692,542.939308348909,false,True
rokisasaki,FF,598.0,404.0,566.0995662275088,474.8836635073026,566.0995662275088,474.8836635073026,false,True
rokisasaki,FF,598.0,404.0,553.1330999221757,442.0963928676231,553.1330999221757,442.0963928676231,false,False
rokisasaki,FF,598.0,404.0,627.219380710162,461.87184896490294,627.219380710162,461.87184896490294,false,True
jacobdegrom,CH,595.0,427.0,526.2947399806889,607.511392937515,526.2947399806889,607.511392937515,false,False
jacobdegrom,FF,595.0,427.0,536.53959450345,500.5717079751947,536.53959450345,500.5717079751947,false,False
jacobdegrom,CH,595.0,427.0,530.0870640086968,588.228450930451,530.0870640086968,588.228450930451,false,False
jacobdegrom,FF,595.0,427.0,564.1739342975407,489.92165076398965,564.1739342975407,489.92165076398965,false,True
jacobdegrom,SL,595.0,427.0,578.5798683612369,530.5131415513644,578.5798683612369,530.5131415513644,false,True
jacobdegrom,SL,595.0,427.0,761.3977906711506,551.0469506254275,761.3977906711506,551.0469506254275,false,False
jacobdegrom,FF,595.0,427.0,575.1199746046885,384.58712360594916,575.1199746046885,384.58712360594916,false,False
jacobdegrom,SL,595.0,427.0,588.6063227995012,543.1036906067703,588.6063227995012,543.1036906067703,false,True
jacobdegrom,FF,595.0,427.0,587.6517539341485,482.95157544602444,587.6517539341485,482.95157544602444,false,True
jacobdegrom,CH,595.0,427.0,533.5197821149694,572.2628995839603,533.5197821149694,572.2628995839603,false,True
chrissale,SL,701.0,449.0,594.9916402214616,501.17561544566416,450.1524820843103,606.4927448736015,false,True
chrissale,FF,701.0,449.0,541.908736759359,549.4014099425074,541.908736759359,549.4014099425074,false,False
chrissale,FF,701.0,449.0,568.4243367994601,565.7121130183242,568.4243367994601,565.7121130183242,false,True
chrissale,FF,701.0,449.0,731.3354664763882,444.7348677291323,731.3354664763882,444.7348677291323,false,False
chrissale,SL,701.0,449.0,649.7158115089535,498.39293096075073,545.053135093382,601.6671153844097,false,False
chrissale,FF,701.0,449.0,719.44194455229,453.22366937800865,719.44194455229,453.22366937800865,false,False
chrissale,FF,701.0,449.0,646.0950170044506,456.7639144044706,646.0950170044506,456.7639144044706,false,True
chrissale,FF,701.0,449.0,681.2592874792659,446.4706386764608,681.2592874792659,446.4706386764608,false,True
chrissale,FF,701.0,449.0,713.6736616460026,496.22698908135385,713.6736616460026,496.22698908135385,false,False
chrissale,SL,701.0,449.0,648.5877570244809,475.1658877704695,543.09690433305,561.3876280140561,false,False
chrissale,FF,701.0,449.0,598.6574925206751,392.7256726764103,598.6574925206751,392.7256726764103,false,False
chrissale,FF,701.0,449.0,643.2948139345581,375.5496156688224,643.2948139345581,375.5496156688224,false,False
chrissale,FF,701.0,449.0,558.8114588283983,409.68222468969986,558.8114588283983,409.68222468969986,false,True
chrissale,FF,701.0,449.0,653.9360300026735,395.6268862026183,653.9360300026735,395.6268862026183,false,False
chrissale,SL,701.0,449.0,627.2877536670118,495.53048165263505,506.15921884303214,596.7031606610308,false,False
chrissale,FF,701.0,449.0,746.8599883861848,555.82784682392,746.8599883861848,555.82784682392,false,False
Yamamoto,CB,588.0,423.0,647.4481396502991,509.4452551084905,666.3501020715136,581.7135443587049,false,False
Yamamoto,CB,588.0,423.0,590.0431720266234,516.7923379879867,590.692813228089,591.3966849401022,false,False
