pitcher,pitch_type,firstx,firsty,secondx,secondy,finalx,finaly,hit_type,called_strike,foul,swinging_strike,ball,in_zone
Yamamoto,FF,588.0,423.0,688.9301080957335,440.0174672931868,688.9301080957335,440.0174672931868,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,601.75501294755,473.07193234750054,608.3176275188312,557.2808006502866,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,564.0717168929679,471.4477513603299,557.5488035412691,514.6684733350737,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,696.0880551322666,526.3976121739273,696.0880551322666,526.3976121739273,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,626.0872440911559,405.596990514816,634.2057404762297,407.34708966931464,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,629.7124620280897,392.26710280121057,639.5605756914396,387.657417659146,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,610.9095767300122,574.7061799665365,610.9095767300122,574.7061799665365,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,560.8884652479281,405.2997623403279,537.9001602291888,406.90805181741433,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,609.3064440173107,428.04592610343565,609.4187012587138,440.5065721956505,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,557.8429427479144,390.59148424965605,533.4015972695285,385.1823495713189,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,645.2888769652328,479.61623567486606,672.6218078885254,566.9474376707442,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,612.6970575224152,549.4164672460299,612.6970575224152,549.4164672460299,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,545.6068224360703,437.09463098445406,515.3275368728107,453.87247857475785,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,647.3789269044257,448.9458141971329,663.565779650271,486.03244850230345,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,623.7029979861153,414.54268742143034,630.6839535858678,420.560842236325,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,638.1130110631906,495.71541164599836,638.1130110631906,495.71541164599836,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,649.0710825510221,446.43428798058915,649.0710825510221,446.43428798058915,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,655.5447087209195,528.7992653712973,655.5447087209195,528.7992653712973,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,667.5450087075328,418.345007301805,667.5450087075328,418.345007301805,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,627.0508568393902,498.11335042511774,627.0508568393902,498.11335042511774,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,563.0434785790344,420.4699173374966,541.0833457577301,429.31599572926007,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,632.6759579820779,452.5937543030461,632.6759579820779,452.5937543030461,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,627.3079809407583,519.9789350225772,632.845269868097,616.5142693007768,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,670.7991857119246,450.00151594756295,670.7991857119246,450.00151594756295,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,567.4785104345137,416.3283299044353,556.8820085864032,419.5119044048324,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,582.681305209598,457.57544722739607,580.1437180721096,534.3908321913709,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,608.7762379804868,478.6787487695806,608.2003658658807,536.0981083950919,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,536.4921289818365,498.0399006620537,494.79741644872297,584.107965507413,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,602.8470685255822,389.0910703314008,602.1296100628547,381.90992918032003,false,False,False,False,True,False
